buildID,build_Failed,duplicatedCode,GodClass,GodMethod,CyclomaticComplexity,DataClass
126398291,1,19,21,26,65,76
126746336,0,19,21,26,65,76
109977779,1,0,0,0,0,0
110452591,0,5,18,25,64,71
112075271,0,5,18,25,64,71
112645137,0,0,0,0,0,0
112982362,1,0,0,0,0,0
113481651,1,0,0,0,0,0
113509845,0,14,19,25,65,72
138362464,0,21,21,29,68,77
138916000,0,0,0,0,0,0
142765745,0,20,21,28,66,76
143956221,0,20,21,28,66,76
143985424,0,20,21,28,66,76
145069866,1,20,21,28,66,76
146177457,0,20,21,28,66,76
124740431,1,0,0,0,0,0
151527836,1,21,22,30,72,77
151640795,0,21,22,30,72,77
154842934,1,0,0,0,0,0
155053544,1,0,0,0,0,0
155423503,0,0,0,0,0,0
127299986,0,20,21,26,65,76
128065986,0,20,21,26,65,76
130851827,1,0,0,0,0,0
131241850,0,0,0,0,0,0
131761703,0,20,21,28,64,76
109667654,1,14,18,25,65,72
111309382,0,0,0,0,0,0
111801000,0,0,0,0,0,0
113692565,1,18,20,27,66,73
115954244,0,0,0,0,0,0
116914277,0,14,19,25,65,72
139527029,0,20,21,28,65,76
118336402,0,20,20,27,63,73
141725531,0,0,0,0,0,0
142485838,0,0,0,0,0,0
143897888,0,20,21,28,66,76
144831530,0,0,0,0,0,0
145664478,0,20,21,28,66,76
145924108,0,20,21,28,66,76
151311893,0,21,22,30,72,77
156012362,0,0,0,0,0,0
125901235,0,0,0,0,0,0
127225922,0,0,0,0,0,0
128302406,1,0,0,0,0,0
129255232,1,0,0,0,0,0
131686405,0,20,21,28,65,76
110192835,1,0,0,0,0,0
111302599,1,0,0,0,0,0
113687180,0,0,0,0,0,0
113711930,0,0,0,0,0,0
136260307,0,20,21,28,65,76
116896405,1,0,0,0,0,0
116909169,0,14,19,25,65,72
118045238,0,0,0,0,0,0
139888151,0,0,0,0,0,0
140076100,0,20,21,28,65,76
140085480,0,20,21,28,65,76
120680871,0,19,20,26,62,73
142831602,0,20,21,28,66,76
143403944,0,20,21,28,66,76
143428379,0,20,21,28,66,76
144572196,0,20,21,28,66,76
144582929,0,20,21,28,66,76
145597113,1,20,21,28,66,76
149540523,0,21,22,30,72,77
152409457,0,21,22,30,72,77
156056600,1,21,22,30,72,79
127849526,0,0,0,0,0,0
128311442,1,20,21,26,64,76
131131449,0,0,0,0,0,0
131451715,1,20,21,28,64,76
131506812,0,0,0,0,0,0
110193988,0,5,18,25,64,71
112075400,0,0,0,0,0,0
112887793,0,14,19,25,65,72
112960216,0,0,0,0,0,0
135869778,0,20,21,28,65,76
115920909,0,0,0,0,0,0
116736416,0,0,0,0,0,0
117520811,0,0,0,0,0,0
138375367,0,20,21,28,65,76
138396828,0,20,21,28,66,76
138797296,0,21,21,29,69,77
119524954,1,19,20,26,62,73
120967526,0,19,20,26,62,73
142552109,0,20,21,28,66,76
121176387,0,19,21,26,63,73
121434862,0,0,0,0,0,0
121517395,0,0,0,0,0,0
143157951,1,20,21,28,66,76
146730662,0,21,21,29,70,77
146735106,1,0,0,0,0,0
150699422,0,21,22,30,72,77
150979880,0,21,22,30,72,77
152791821,0,21,22,30,72,77
153283982,1,0,0,0,0,0
153342423,0,0,0,0,0,0
154215928,0,0,0,0,0,0
155994532,1,21,22,30,72,78
